Ind	Size	Age
1	small	young
2	small	young
3	small	young
4	small	young
5	small	young
6	small	young
7	small	young
8	small	young
9	small	young
10	small	young
11	small	young
12	small	young
13	small	young
14	small	young
15	small	young
16	small	young
17	small	young
18	small	young
19	small	young
20	small	young
21	small	young
22	small	young
23	small	young
24	small	young
25	small	young
26	small	young
27	small	young
28	small	young
29	small	young
30	small	young
31	small	young
32	small	young
33	small	young
34	small	mature
35	small	mature
36	small	mature
37	small	mature
38	small	mature
39	small	mature
40	small	mature
41	small	mature
42	small	mature
43	small	mature
44	small	mature
45	small	mature
46	small	mature
47	small	mature
48	small	mature
49	small	mature
50	small	mature
51	large	mature
52	large	mature
53	large	mature
54	large	mature
55	large	mature
56	large	mature
57	large	mature
58	large	mature
59	large	mature
60	large	mature
61	large	mature
62	large	mature
63	large	mature
64	large	mature
65	large	mature
66	large	mature
67	large	mature
68	large	old
69	large	old
70	large	old
71	large	old
72	large	old
73	large	old
74	large	old
75	large	old
76	large	old
77	large	old
78	large	old
79	large	old
80	large	old
81	large	old
82	large	old
83	large	old
84	large	old
85	large	old
86	large	old
87	large	old
88	large	old
89	large	old
90	large	old
91	large	old
92	large	old
93	large	old
94	large	old
95	large	old
96	large	old
97	large	old
98	large	old
99	large	old
100	large	old
